Site ,Plot #,Species Code,Latin Name,Total #,Browsed #,Stump Sprout #,Germinate #
RPD2B1,196,QUCO,Quercus coccinea,6,NA,NA,NA
RPD2B1,197,PIRI,Pinus rigida,1,NA,NA,NA
RPD2B1,198,NA,No species found,NA,NA,NA,NA
RPD2B1,199,QUCO,Quercus coccinea,1,NA,NA,NA
RPD2B1,200,PIRI,Pinus rigida,3,NA,NA,3
RPD2B1,200,QUIL,Quercus ilicifolia,1,NA,NA,NA
RPD2B1,200,QUCO,Quercus coccinea,1,NA,NA,NA
RPD2B1,200,QUAL,Quercus alba,9,NA,NA,NA
RPD2B1,201,QUIL,Quercus ilicifolia,4,NA,NA,NA
RPD2B1,201,QUCO,Quercus coccinea,1,NA,NA,NA
RPD2B1,202,QUIL,Quercus ilicifolia,8,NA,NA,NA
RPD2B1,202,QUAL,Quercus alba,1,NA,NA,NA
RPD2B1,202,QUCO,Quercus coccinea,2,NA,NA,NA
RPD2B1,203,NA,No species found,NA,NA,NA,NA
RPD2B1,204,NA,No species found,NA,NA,NA,NA
RPD2B1,205,QUAL,Quercus alba,1,NA,NA,NA
RPD2B1,205,QUIL,Quercus ilicifolia,1,NA,NA,NA
RPD2B1,206,PIRI,Pinus rigida,5,NA,NA,3
RPD2B1,206,QUAL,Quercus alba,1,NA,NA,NA
RPD2B1,207,PIRI,Pinus rigida,1,NA,NA,NA
RPD2B1,208,QUCO,Quercus coccinea,1,NA,NA,NA
RPD2B1,209,PIRI,Pinus rigida,3,NA,NA,3
RPD2B1,210,QUIL,Quercus ilicifolia,2,NA,NA,NA
RPD2B1,210,PIRI,Pinus rigida,1,NA,NA,1
RPD2B1,211,QUCO,Quercus coccinea,2,NA,NA,NA
RPD2B1,211,PIRI,Pinus rigida,3,NA,NA,3
RPD2B1,211,ULSP,Ulmus sp.,1,NA,NA,NA
RPD2B1,212,PIRI,Pinus rigida,2,NA,NA,2
RPD2B1,213,PIRI,Pinus rigida,2,NA,NA,2
RPD2B1,213,QUCO,Quercus coccinea,1,NA,NA,NA
RPD2B6,196,QUIL,Quercus ilicifolia,3,NA,NA,NA
RPD2B6,196,QUAL,Quercus alba,2,NA,NA,NA
RPD2B6,170,PIRI,Pinus rigida,1,NA,NA,1
RPD2B6,171,PIRI,Pinus rigida,1,NA,NA,1
RPD2B6,172,QUIL,Quercus ilicifolia,1,NA,NA,NA
RPD2B6,173,QUAL,Quercus alba,11,NA,11,NA
RPD2B6,174,PIRI,Pinus rigida,1,NA,NA,1
RPD2B6,175,PIRI,Pinus rigida,4,NA,NA,2
RPD2B6,175,QUAL,Quercus alba,13,NA,NA,NA
RPD2B6,175,QUCO,Quercus coccinea,1,NA,NA,NA
RPD2B6,176,PIRI,Pinus rigida,2,NA,NA,2
RPD2B6,177,QUCO,Quercus coccinea,3,NA,NA,NA
RPD2B6,178,PIRI,Pinus rigida,4,NA,NA,NA
RPD2B6,179,QUIL,Quercus ilicifolia,2,NA,NA,NA
RPD2B6,179,QUAL,Quercus alba,1,NA,NA,NA
RPD2B6,179,PIRI,Pinus rigida,2,NA,NA,2
RPD2B6,180,PIRI,Pinus rigida,1,NA,NA,1
RPD2B6,180,QUCO,Quercus coccinea,1,NA,NA,NA
RPD2B6,181,QUCO,Quercus coccinea,1,NA,NA,NA
RPD2B6,181,PIRI,Pinus rigida,1,NA,NA,1
RPD2B6,181,QUIL,Quercus ilicifolia,9,NA,NA,NA
RPD2B6,182,PIRI,Pinus rigida,1,NA,NA,1
RPD2B6,183,PIRI,Pinus rigida,2,NA,1,NA
RPD2B6,183,QUIL,Quercus ilicifolia,4,NA,NA,NA
RPD2B6,184,QUIL,Quercus ilicifolia,1,NA,NA,NA
RPD2B6,185,PIRI,Pinus rigida,5,NA,NA,3
RPD2B6,185,QUCO,Quercus coccinea,4,NA,2,NA
RPD2B6,186,PIRI,Pinus rigida,1,NA,NA,1
